u,v
19886,5044
19342,6199
14758,6907
29583,35626
41480,6297
13823,28312
42356,44264
3863,25363
5489,37065
2185,6589
35048,38119
22700,49219
11218,3788
2148,32805
46078,11763
47751,36200
17070,41055
45078,36218
44206,13381
5948,7425
38285,13220
6194,22373
20893,1006
2468,39487
8603,22003
30108,15569
28099,9415
20282,46907
13354,21376
475,31928
15822,45849
26130,44361
30245,20063
24391,24584
39589,20604
49189,4326
30071,27917
49199,203
30839,13827
29027,18661
5140,35567
38454,43892
22260,26529
568,21075
48814,23308
22894,37297
32197,2344
13759,25637
36699,10188
34268,49850
29425,48547
2351,10821
47362,24308
27876,43371
895,17355
15906,40685
30294,19924
16044,8837
28913,29048
22004,37995
11735,42785
4236,19203
1364,24777
26040,4398
34108,5931
47899,31434
29563,37882
17546,48352
7343,26641
48493,32681
17839,46594
44443,46225
37151,3631
21710,35317
4585,7100
27351,41903
18169,8493
15249,2969
29352,44283
14442,23469
40392,33229
3132,14697
20391,5735
2676,48020
42569,32767
13605,10738
1481,46949
28999,42580
26548,39550
49042,16490
23481,23164
65,20250
17734,42453
1929,26450
9201,35842
39682,22932
30130,25347
32702,49518
25440,43834
13294,29462
45708,26064
34474,38894
2766,27244
49817,13313
27693,2078
24398,1316
17794,4998
47668,10932
948,18377
10443,46740
4510,36687
29911,7051
6673,45924
43483,23167
31984,13428
49343,2260
32371,29464
38246,7637
15858,4977
30433,11198
38709,41377
10910,3228
15751,13667
18735,20953
3714,34661
31281,15207
28448,35653
11100,17628
21557,41699
28978,9203
32515,9464
44570,23355
3826,38895
12184,26982
16937,28810
19473,44131
29792,19509
10941,7521
8564,41751
26100,40999
9499,6885
23898,11317
10940,15545
10821,47294
20654,2375
9846,37262
20008,18094
29239,3395
47195,10761
3683,14595
37874,49266
21712,11464
14848,32656
10590,22166
20532,7512
45126,39617
43934,36016
25771,29683
21825,22100
21693,15251
13342,26066
20039,13522
47752,33722
10801,24530
29491,44191
13504,38346
16875,25666
14739,15102
17144,40995
8691,19143
15161,35314
13481,37103
8767,38334
26168,36666
46101,48616
3170,24866
11180,46643
44801,40338
7594,2838
33973,40432
27675,39028
11530,24325
42465,36848
21271,14556
29129,29282
34871,15554
5646,32370
6424,27827
809,2683
11320,45291
32228,11969
17713,40925
10805,16461
7533,289
14690,3665
41482,33948
48545,2050
32275,26425
7318,8311
45021,27774
48445,9302
22799,40263
19352,21674
25460,10094
10842,14660
12273,15119
934,11667
490,3394
4000,43254
44081,18089
25812,17712
45956,21104
45476,20750
46156,17757
7371,11162
3956,11675
37987,12543
37323,44509
19051,45749
22371,8067
9835,11728
2057,30578
6638,36047
41013,49066
631,2717
28309,18313
35836,44493
45198,11464
43585,25250
44151,46845
8262,37861
40980,7611
39126,14382
21175,34396
30441,29696
44546,31623
26019,9263
26584,27790
18723,25959
9070,31235
35858,31702
42866,29644
19454,16567
7761,45333
14599,20773
19602,37425
9486,44688
41633,49426
41108,29682
42761,5349
9596,15940
25335,41004
30448,6302
23121,41888
7545,30545
32665,10817
10039,10952
25423,43521
22292,281
32765,2497
22727,23746
900,43147
41367,26901
6913,30474
20335,14637
3757,6947
474,16208
46484,8486
34885,3957
23128,34948
47762,15175
18958,35096
7332,42619
36962,19358
48627,47742
36459,27344
37166,28973
12041,27542
46079,1697
17477,30211
1723,8450
8510,44343
7336,36886
36211,19557
42448,12528
31448,35591
40877,31013
3696,7126
474,43030
25823,15724
32561,27115
22623,21569
47822,28507
14664,30646
28331,5069
36371,47647
10743,38515
32013,33020
39435,38635
6646,49735
48736,17855
43695,40262
8197,36948
42359,13885
36878,45417
13769,49204
32654,25239
34378,38866
29063,31106
37507,28604
34711,11738
74,7803
1397,23598
8159,42358
26601,21984
26442,22345
32416,7122
40565,17144
24999,48139
10549,3756
15838,30125
15241,3119
9552,31041
39924,42698
19180,18754
35607,17327
23890,20386
3092,20709
5470,9748
46249,32598
35616,38692
40659,45666
22621,40348
1813,4896
15439,20429
14936,21054
24728,2333
32819,6854
42488,7682
204,9468
42318,135
11013,44846
43878,6453
21210,2296
15703,31441
12041,43196
9952,9612
19352,16819
49295,16175
18280,30003
25978,41799
16854,34270
8561,30977
14834,35956
14232,5222
38539,43472
32300,23485
1910,14901
17745,12609
8061,45711
2767,34683
17263,46321
5376,33724
47972,25300
9798,17588
39552,38132
15557,31169
41923,27799
20230,48299
17433,28333
985,4675
28179,19142
44859,3878
39664,21060
12778,23081
41840,39554
1973,42061
17266,34288
40259,8967
34168,43793
34655,2072
35617,5624
48563,45695
28266,38773
16088,18399
11607,8899
20831,22072
7727,16594
46638,48573
33479,11275
34397,4459
48727,18349
419,29005
25250,10774
34131,46835
37730,32262
20736,40618
49138,30079
13176,4496
13464,29642
31697,30857
5233,26548
28671,1976
7869,41165
28383,22718
40624,38907
2132,22494
9760,47419
20038,47799
15477,44622
49644,5656
23637,35658
24239,20049
39055,45427
18850,12957
8995,45650
44256,329
42784,36029
31036,23794
30298,7965
19364,24631
17982,5617
16719,8415
38222,1326
34040,49779
20140,13987
20220,46843
41861,47779
32573,10318
26874,43829
4453,696
11571,44332
39589,2321
32636,5530
24796,39244
25941,11802
13675,4404
42975,3395
8223,47399
48141,44527
13466,46004
40944,34545
10747,28228
38437,31273
4587,39248
8184,46311
36519,14085
33170,29762
34183,43926
7696,19034
43141,39117
44765,16250
3030,44153
15373,13211
45798,29467
45690,46868
41655,18053
30631,15675
29982,21313
12289,3752
25525,21997
29448,2461
31349,3551
40471,41944
25011,21772
18163,4836
20973,18783
18770,40913
27044,15354
16121,35681
37556,33797
14246,6443
24083,16443
15121,23831
34959,36577
23597,34163
48658,34790
28240,42851
25571,7924
4603,29731
9860,26576
25478,41081
36215,48686
14808,16378
1083,49650
107,13900
32398,18245
1134,36845
37264,18890
35467,36490
19941,4543
39041,38190
45353,8585
42618,35540
44219,22551
9909,44919
48853,43395
31988,27991
17418,26764
49602,12124
43795,2559
31551,41430
45659,31161
15625,23631
28539,21029
10690,35887
30217,26738
6098,25848
47859,19046
4620,35065
27188,37475
8994,11745
8410,33456
43399,13372
17352,40439
38984,7180
49570,21006
1640,42950
38366,48707
36034,12468
21506,26822
7668,38058
1020,30022
30632,9809
33124,29700
32755,45632
39680,45088
8835,21850
34124,32164
17053,33388
47966,10810
6001,40556
35507,443
15616,34576
21872,23026
35300,13800
23264,38932
40520,35693
22462,4866
11488,6367
27780,22876
23942,19035
5435,29289
22559,24218
23240,33858
49843,41930
27600,34768
6548,36886
29260,8778
22687,28655
44109,6939
27246,22310
17063,12354
49403,240
28423,22993
15354,8839
35237,34632
40215,14021
9565,3598
48495,19670
7353,44027
35653,24428
13806,34871
46408,31572
46130,20136
20039,30462
14127,37648
2771,38410
8622,27567
23264,45554
20243,25840
28883,49444
46065,37606
11239,36791
3603,40288
41047,1110
10950,16321
5640,35562
5199,33240
30759,44215
8908,15218
15552,15605
41416,31578
44187,47183
11063,24551
21640,22137
47896,34879
44782,27799
18174,24249
21563,35783
24759,47379
49403,14329
7160,12060
27492,35257
17833,34569
11238,48560
22817,6765
41472,13610
44745,21928
11391,13888
2652,9332
3212,42669
7027,2359
14848,44774
6334,37391
20673,36049
33142,32335
49065,33238
2297,33987
16969,39958
17453,5331
48027,12546
21682,17824
8403,11550
7948,39856
49643,12897
29066,29151
13970,11064
34016,48996
45916,21173
6459,48319
27260,39486
30176,1583
32680,15758
782,24640
48327,16172
4435,26010
35001,39276
28191,11094
24364,30636
34635,37431
23586,12033
37355,9688
19343,43137
49085,38139
10712,11204
2367,44144
27648,23997
7398,30393
11266,25031
31636,43356
31967,30623
49072,27039
24688,21660
3373,39140
9671,4038
25729,1638
42975,36097
35514,43035
40290,44191
23649,3407
25051,29468
48111,28051
31887,34396
12927,45351
38914,25584
4053,22718
3831,26242
40770,20884
18662,13889
1416,28672
19724,10824
49896,16715
24198,36654
38462,825
45529,3668
34685,11005
29833,18069
33690,46016
8104,3538
48362,10723
44814,34870
8955,37406
23057,915
42988,55
46311,19217
6366,18981
9636,29804
48044,29670
22157,23168
43198,47149
27614,45977
46883,49089
28416,27885
17642,18662
39862,2729
2425,29820
10564,21908
16159,18552
41172,25201
3424,34393
48567,6759
31,27358
2500,46670
21085,48811
33152,20988
33309,44813
16222,9178
39473,1179
22937,634
44749,49309
20011,26743
3669,39720
6230,16
33310,2288
44051,34088
38773,41085
40106,8996
5595,13022
16704,32115
45166,836
21282,7896
24030,21858
33289,18553
1405,23798
31860,47702
8933,47676
40037,27528
9056,39618
48040,43570
30520,43228
29998,40433
7751,37517
18688,41595
26803,30572
35696,47464
2838,27534
22920,2894
45694,4608
37869,18691
38883,854
14142,24476
41762,10833
45427,37559
35784,9810
42645,25874
6200,31659
14655,17827
2351,46362
15293,43670
24823,37183
2771,24715
37095,41383
30137,12029
23456,37560
45967,10676
36221,9253
30891,32078
20609,46236
4293,590
29544,41324
5777,42038
42481,15448
953,49953
27363,1721
16253,23736
37129,1105
10173,5320
35085,19734
8054,38407
27915,3740
36281,33374
14228,19976
5117,20901
27511,12310
48474,1595
44286,952
4260,44791
39853,45011
24904,31283
18160,9381
38552,24070
17736,8352
7750,13581
17725,30081
17697,45241
31833,27944
18450,8958
44592,27419
49592,41245
46703,30961
33465,44695
17315,2472
22897,2759
2283,21487
41387,44938
7711,40938
12042,49810
27632,34656
1181,3555
20021,6784
14164,5897
13845,15296
49130,15432
29692,35881
44625,12714
49213,36354
49190,27041
39877,22829
45532,5142
24528,48978
7793,29297
33849,12546
13055,32983
8032,18724
3027,35777
26011,20963
12939,975
40967,10223
11848,7728
5142,26376
16993,32725
38002,8833
11060,7557
33975,23534
21275,30348
27759,37508
3127,44173
23369,25451
26411,37309
38373,24120
1233,11289
30555,17105
25779,12430
48459,20911
6391,15218
975,810
49606,32296
37796,4934
1399,46501
48718,21140
18730,38956
36199,5133
8360,35123
32606,14822
9683,27109
20386,15159
46919,21711
49185,3177
5087,14638
25854,40270
38356,1254
29682,46301
35782,13386
12015,23246
13638,10891
15425,2074
17018,18922
43472,18757
38886,24655
42788,8357
41121,44791
42709,47482
45608,3273
43089,46920
43831,45263
25354,41696
26827,10926
27812,7938
14748,39311
6466,11698
37388,35118
16624,21074
24964,38427
33971,49272
23054,3845
12779,3872
11634,41948
29003,23233
49864,2314
47602,26952
33789,15551
28589,21510
27489,7597
35711,19451
33305,28448
37078,38605
28367,997
32459,1692
5045,45869
3340,22665
100,25050
88,17457
8230,26470
16866,6769
45254,46163
19680,29815
29923,32995
14612,49430
5374,24131
40372,10823
27991,6054
43226,5306
42379,41729
1695,33252
25524,358
26236,41428
20000,6957
29774,25373
30770,14234
4359,592
44736,36331
15380,14923
45823,34023
13631,45398
14214,1863
43234,5615
18557,17029
43536,25930
43837,25999
36186,10843
33631,23708
42016,36348
43123,13200
19713,21821
22551,26447
47907,12893
19779,32906
5780,12462
25225,42243
20143,13589
44884,12227
7224,9713
33204,35854
25836,13781
31237,30655
35028,48884
11205,13231
3262,42246
49391,42668
34644,37625
11071,26967
18630,16253
23552,24290
28632,14396
25436,22197
6673,33489
17865,19982
45096,18081
3312,26344
33613,282
33538,29993
1079,14915
44918,24310
30184,14277
42475,39916
37059,27410
9097,14410
16825,32384
10688,18673
11173,19861
26916,9329
2962,10023
4336,26571
18595,6336
40273,9529
5390,31599
20373,44306
34669,34051
46692,18356
32907,47186
28138,20827
43413,16805
35063,22486
15906,14523
22729,22718
5405,16396
651,11019
24811,13637
8794,38924
36702,16359
27025,28734
35080,27945
34733,31102
20518,22523
35141,9076
9032,4228
49893,6930
48392,5662
30950,4197
39138,24108
21073,12238
47663,18924
37292,44508
18985,15828
32034,33488
36836,28144
29916,3847
17742,5780
49476,44655
35440,47587
45365,22070
41546,12188
47371,21893
45930,32625
22333,19297
48386,19134
16323,14014
19360,1007
33242,26516
10976,2645
28538,32163
17957,2905
39305,15630
48020,20661
30793,38467
44121,31860
33011,26649
10867,34482
39018,26753
9747,8363
40230,45980
46970,28432
25297,32770
6339,17474
6843,48214
35756,35947
26623,32960
6116,19089
16328,32215
22302,36828
36820,940
15283,27747
46913,26469
8990,41111
3628,20355
10706,543
43736,19100
41676,40237
39575,26
44780,13050
25846,7797
5915,46846
34071,9528
26975,42300
19897,13923
47907,41642
33152,4559
17384,32722
13730,4138
16370,41824
16127,45061
49275,24038
30185,43450
10434,39112
17962,11497
31504,28488
4997,29205
38697,49855
24186,39515
24155,18027
11113,3185
9756,5324
671,15295
34322,1094
12402,3435
47855,38392
41899,41363
7737,34313
26131,15128
37946,23665
45344,41309
7698,33181
29948,44310
5930,47524
32969,20564
44123,23427
30538,36577
16639,16941
6522,17187
21749,1099
31701,43342
3647,26701
26246,39803
34965,41980
41344,10929
46492,32784
22976,41730
41289,43808
7876,93
13200,30296
34765,24973
32910,46528
48223,18563
7868,9042
29506,48839
26828,13258
36881,23972
30145,6277
10491,46814
44237,40914
24794,16028
46157,6450
36238,45243
21282,19692
7920,25361
44620,2703
29837,13129
44129,38656
47424,43959
14113,21663
33476,25207
17135,4499
12929,9200
38030,39007
26972,16858
23377,29048
2606,23560
28548,36247
20659,5274
13125,35229
11803,47412
19596,19208
35635,27015
14818,3742
2830,515
17509,34196
45813,20253
1407,41607
9532,13705
13475,3584
19273,27148
19040,27247
13258,6056
28065,10909
10967,13618
4310,28243
1610,15406
26929,20005
48826,43470
6236,30949
34966,11877
45460,40817
5257,11589
14284,14826
6373,3401
7928,49241
7825,8396
19567,14788
2936,43252
39269,47317
34274,8759
11795,17101
27401,1323
46287,19974
33538,18758
21391,25976
23086,1607
106,36744
34332,40394
4769,31146
17811,5249
24926,3936
26061,49717
1451,33491
15454,39610
17392,48711
29152,24663
19858,7657
8172,16493
27282,45501
34295,39414
46764,35362
25261,35279
5825,42494
16623,33367
23485,44773
5015,37940
23251,37372
19827,19329
1956,6253
40287,47506
38938,32438
424,34899
6497,7246
23209,32292
1401,8413
41217,48589
28087,49769
8505,12980
24908,49509
9822,44810
48758,43776
20323,19905
22453,22705
40932,732
16123,22978
31454,48057
16193,31282
14843,49187
20054,37493
5110,26877
11682,8429
38371,41855
12518,18149
24726,8418
43494,44376
7164,28976
7989,41276
45185,18232
35026,2360
19501,41773
9192,45945
41199,8035
11225,12379
8100,30122
18328,18142
12910,37365
32307,33904
25533,38006
39485,47983
41582,36734
42811,45286
39354,39697
15556,24026
8790,39998
23899,42552
19427,34641
37284,36251
44305,46203
9943,4976
15414,28993
1722,5105
28058,20676
48635,44649
12440,40887
38886,26183
18736,48349
47865,11087
25597,6830
8382,9159
49743,1912
32051,48746
32701,22834
18621,27239
34691,30546
7353,27299
6895,25021
3997,11045
1485,1078
29552,37597
10483,4180
26353,10807
37574,25992
47927,34552
35867,25249
24697,15755
42350,20432
19301,21847
35457,49345
1463,23263
37718,2709
41184,27480
33245,28141
8523,15302
21118,33675
19839,39104
12633,27390
3190,45384
43736,8720
9124,25803
20280,15343
17491,25462
10665,11686
13333,21931
2668,29232
25437,27270
2758,2693
28191,42386
48773,23824
25389,28353
825,38752
45520,16707
40577,44773
12718,38530
31391,8263
36752,10178
14667,21651
20999,46830
151,47598
23492,45425
48985,36778
1713,44162
12350,36766
36340,32976
26923,45392
4695,36445
42469,6275
48534,1019
27510,37147
37119,3843
21466,45598
20286,16532
27727,19013
36137,40849
25345,6111
28227,5816
15058,41237
14265,27642
24849,48938
48164,38191
47157,40484
28102,48518
17236,24986
41574,22270
39606,46085
29582,4857
44002,27284
41182,37275
1865,26409
44298,39186
14134,37558
9121,45238
42363,31736
2958,16068
17502,31589
10940,38621
15842,38375
23877,46763
793,19159
23404,7761
20425,41046
46197,31065
23917,3348
48183,28510
4446,11890
36826,44861
39915,2992
38485,24267
3515,17510
1945,24853
21068,246
7412,48548
14472,33031
36100,1466
33882,34119
18203,30505
14153,7284
45223,38645
40133,49997
42268,47911
11943,15545
31935,16591
2028,47969
10400,28231
26720,776
32777,34715
11551,41065
42527,28817
11164,49137
44574,35192
36399,34688
4820,2329
37807,47725
42944,22766
47388,4408
1097,20313
10309,7757
15683,31352
44949,16942
808,39873
45460,33039
2998,7500
4500,3542
19740,3951
40563,46516
17754,25731
88,28337
46162,10891
46543,23241
43238,33609
18416,29136
42857,6471
24930,32971
21237,6742
10583,44724
3929,705
27528,28415
10566,198
5132,33941
41860,26173
5087,2029
20104,27415
22027,19702
24050,36313
31669,37549
16016,5763
5701,42114
35106,39628
16176,2160
45737,48828
26426,49738
43219,19937
1085,1915
24167,4159
5431,8201
34136,14891
42550,25300
26637,11574
16133,16650
25699,40986
47726,39901
837,41799
23539,45806
11123,17849
6527,28273
30536,36058
23191,39278
17544,41038
29914,41175
49925,49188
29265,3856
11480,1897
39167,652
36094,31051
33680,2989
39164,31750
43828,26115
16358,11256
48212,45076
26788,29934
7804,44123
40205,40407
673,22220
6923,1691
36971,14874
44183,48555
45786,5247
15206,12662
22900,45697
16179,24238
17447,13983
30108,22972
34582,29414
38059,43695
45731,38505
37002,3904
16944,34446
35420,19637
937,31437
30449,226
10426,27003
18961,36481
25759,33205
2980,26711
34516,45098
12973,4809
42070,9879
11758,5422
24340,34124
14396,31905
11185,35536
13177,25463
4770,26161
18919,7042
8152,6605
34365,43602
13138,10030
9308,47541
43397,39478
19071,22815
46482,28788
17485,20503
33610,43927
10232,29837
49062,42021
43599,18753
36097,33473
12904,35938
28353,23673
17860,24912
18322,36124
33078,41193
14265,35595
26722,36304
2214,49304
5657,34539
33526,28828
40855,9679
43075,31942
10784,40273
3867,20257
23693,24386
8495,7088
48975,49520
45458,44936
12254,22388
45129,32526
31652,24511
31413,7065
30863,8569
41858,11888
49670,34612
7099,47568
14645,10287
29745,24127
40765,46233
22844,19853
21495,21928
7671,49084
30546,47585
126,47685
30741,31447
28895,38594
4678,15625
12880,19409
9129,39898
46477,33182
28060,12111
29753,8307
41585,9116
6621,7952
18197,12064
10297,42224
8116,9465
46013,10477
36071,35481
37268,40899
40206,29430
15487,6909
24869,41576
29708,36633
17770,1215
18142,31306
416,21738
16008,22804
34058,47091
46787,9369
40447,8576
49276,25407
38699,21494
27916,42927
15324,48942
8127,15537
31458,29992
37368,46468
20665,5000
46978,38590
5344,9988
3722,10510
17426,48490
43338,22481
35879,26175
23179,47548
16006,32300
2080,24235
3677,17736
49223,28863
14395,1342
36303,49744
19999,22673
41433,46368
49008,27862
4851,29471
10595,48335
21721,48612
8189,26494
34208,11933
11460,8734
517,43032
47973,25352
8542,41578
49659,18067
43379,26900
7558,10930
41280,41798
6851,3924
16324,11270
8430,19795
48554,4427
21838,23010
4988,45414
41071,19680
23977,49007
49294,34570
49820,1666
35629,20947
4881,43495
27017,17296
8880,28880
23495,20362
19688,30080
9470,11332
25063,29349
33548,39971
23850,48831
47840,29323
1144,9608
32372,43811
12262,9689
14974,11431
28995,38289
32398,2114
37320,11344
19189,15857
978,15401
28619,13259
28300,43582
46157,10654
30223,18993
33086,5240
23617,40455
45208,466
28485,24369
49012,6168
632,264
16416,20146
19767,14855
3269,14410
36709,25167
16193,17258
23848,39399
4617,11986
17246,35057
21273,44807
44087,31556
26370,14977
522,8742
5811,44335
46562,49351
26204,17664
20181,16619
23216,18907
25154,45053
35847,42229
49165,19465
29706,32606
16655,41865
12736,13594
37658,5079
13579,42638
33549,29542
13700,35803
43797,25973
47468,26450
48085,11418
47805,44767
8235,15819
1349,11466
38451,40650
3135,43754
31729,38514
19757,25658
32673,34752
20889,39215
14597,33138
23780,20399
20214,39150
42388,48730
25879,14958
17525,10958
9787,14272
48599,25845
42317,26351
26546,23622
48156,9660
41559,18725
39162,25088
30905,17003
43004,21590
15425,17543
1388,6172
29828,84
10759,36045
37585,45451
17189,7988
265,15858
26740,48450
45761,40207
31914,41447
12406,17152
44480,19446
17787,15404
9920,2831
43605,14104
46336,9096
1864,14817
43946,7713
33234,43752
3331,10943
6213,32873
20358,47152
44417,8470
16371,22836
47519,17252
1162,49490
36507,44781
8703,21402
19825,46945
27885,43044
20943,28753
14775,7034
31589,13196
49677,42900
36849,33819
34804,4397
10357,26969
42873,36527
1331,2899
1241,5683
42926,35595
47905,15755
26097,49121
24487,39938
18395,20151
39542,31171
1534,2045
40741,16629
41072,23478
3154,25737
20173,21135
14068,40765
30798,7468
9050,24299
26573,49634
3665,49417
20073,30223
9191,44806
26088,33075
18561,45392
34607,28912
35545,40980
43443,1422
19813,43012
37602,35208
8157,28335
22869,21748
17641,45440
5853,34426
30384,6910
9815,11878
20542,36271
8675,29306
46145,847
1265,3431
49439,34811
34764,22497
45515,7748
27486,27662
18482,28198
28668,10559
1936,3093
734,19049
9738,32114
31799,14212
38719,20741
11804,41167
47111,45945
36565,44830
30415,40633
5975,33180
17030,42973
32456,16647
35772,23380
24610,34556
17628,13428
23485,20087
2277,47663
21430,8755
4520,11896
7507,1268
11180,26860
44006,45924
10608,48124
16491,28078
27495,11829
41270,41475
43449,26475
43830,41181
42894,31348
43597,29721
17242,11258
46381,32943
12440,25346
26353,27945
17777,43229
27909,13981
46304,48151
25446,43117
35374,1605
6434,42450
29363,13738
2110,27889
43183,23621
17161,42445
34265,29561
12875,20457
13043,29705
8297,28088
45816,30160
22597,46267
10284,8762
23510,42674
2894,49040
19948,38695
15689,7031
15909,3394
11844,13934
3214,18063
21532,23336
19439,48242
49928,44262
6526,39656
33533,47581
11609,19884
16741,35189
24234,33631
6773,24506
19412,37810
47968,39271
16391,40795
10631,9559
44093,19469
34688,31774
10838,31037
21505,9413
23658,23769
42042,21251
41721,8743
45733,37156
11048,34357
48993,10289
15148,37042
30288,28479
4953,48030
14866,24162
38736,36762
24085,15926
13235,3941
26249,33619
8497,48226
29108,46002
30534,25192
43155,25902
37952,34841
21283,28644
20403,15359
9463,19963
32164,41932
35850,48158
31355,14648
13596,2971
22543,29280
36471,23743
48151,46473
20018,10192
9209,2113
27798,40041
30951,41630
3060,32922
23375,42552
18431,37886
19476,30701
4226,7599
39061,37372
34475,42985
42486,10603
16123,45810
49209,19719
14152,24531
25617,32901
46328,272
8018,37000
37248,15970
43777,17496
24233,7186
9142,34799
29041,20095
9170,5042
49785,19998
39114,43262
39158,18413
48114,13808
9904,25838
1420,28672
42069,1876
23427,44504
2038,13869
31731,43256
36981,31033
172,24932
41268,18734
19689,544
34656,26144
5951,6217
42411,16977
10857,11791
8172,47541
27283,26174
3660,43509
15013,39058
23284,44684
370,1193
29906,26361
40689,37966
5502,45485
45240,46835
33538,12938
9982,25636
4730,41226
20299,12620
10868,4766
12658,2344
34125,17961
29462,21820
14434,1953
11178,35187
39678,21976
21140,42859
27660,5243
14153,24364
32367,4926
10443,38345
39512,1474
43581,14204
4842,4046
39775,7874
30725,31077
43364,3442
5013,49116
26528,20575
39581,14309
40836,8206
4031,39754
11338,5606
28731,17109
43283,11351
27668,12073
26766,34173
33873,27601
48,40676
19313,44799
45721,2270
20067,10870
48566,11852
29297,19121
16320,184
43224,43669
44895,24860
42782,9044
10406,25349
27919,42022
30847,37092
13472,5688
33386,21148
49187,27238
6142,24154
31145,47
5797,1489
27196,27360
35663,20575
36037,40054
31326,43201
30380,21870
38357,6394
25613,42052
19881,30831
43912,20490
27984,17401
20184,12081
31089,7894
40756,34667
8865,14
39890,12731
24023,44372
46635,10029
43110,18452
17410,14152
43477,37894
1513,29290
21409,35391
21423,26453
30559,39024
14527,3300
23331,16353
41186,27181
36813,22017
15791,29387
20697,17189
29313,36347
43635,25813
22981,35650
692,40627
28303,45904
10099,19388
29097,9475
15084,19233
9513,49889
31170,15173
7813,38581
7359,19729
10684,771
42464,6620
12089,31874
36842,3833
28263,48878
7369,15033
14338,32580
31984,16313
8481,20644
22430,39669
14996,4121
20109,45828
22752,12030
24568,49092
1759,6563
8849,18801
19503,16548
34613,34928
41109,44785
41608,45049
28001,11777
29441,26036
18272,46270
44743,1811
49417,32147
37656,19003
3940,21609
3698,40781
13254,19165
40488,44763
33944,45081
29135,42739
5044,36895
26669,39537
36531,24185
45427,19575
27236,3938
37014,49975
44193,12819
42475,37476
22311,7128
39646,1542
40597,11675
2261,34713
29170,48420
29021,13666
17033,8950
4588,48910
31294,29408
11707,29481
41747,5971
45698,22567
40906,11714
10522,32041
28830,19282
42706,34168
42441,24682
48801,40689
29275,44707
32967,45041
5216,11663
29350,30543
13448,24478
10417,20666
32585,5688
40559,14544
14809,44604
41358,8215
29922,38128
46723,42973
6746,35973
9640,16632
34639,15563
26667,15892
11131,35938
6049,43665
36973,22058
21604,23901
4127,1560
49262,21999
15513,39412
17719,20105
21379,30761
26282,8743
28001,40277
28872,11496
20700,1674
22209,40552
31294,37974
38926,3496
35829,4645
11894,17844
43694,4431
31140,38002
19506,35085
44409,16061
41381,13865
4022,36125
29953,42991
40645,16238
28465,33258
