u,v
1166,3168
2060,1729
232,3639
2760,4293
494,4046
2569,1746
2424,1672
586,4256
2811,3874
3470,1670
3810,1979
586,3428
2334,1620
2835,3091
1538,4318
4456,1433
2848,2663
154,2756
4026,2471
1968,527
4032,4931
4747,1870
4146,2470
4461,3695
2552,4695
3400,3658
1861,4338
3198,1525
4707,4092
2649,3815
4515,3602
1091,1320
2816,1021
33,103
4163,3744
1620,538
2432,22
4264,101
4953,3674
3971,1308
1604,4010
3927,769
1088,4387
4491,4214
1464,821
2810,4540
1360,623
1585,2755
2954,2893
4988,3532
92,3837
3883,1320
3216,3604
3209,4052
759,2904
1752,1279
3462,2360
4054,4852
2254,4681
935,501
372,3386
1044,3129
1889,1817
4092,3732
1342,404
1624,578
152,1737
1134,3765
3820,1008
3833,1451
1523,4270
2789,2453
1280,3895
3376,8
4356,725
1377,595
825,4505
3175,2981
1847,646
3275,4375
2044,3334
1363,2430
1524,2159
4508,1856
302,2507
2563,2387
1317,2024
1332,372
1033,3228
4316,4943
4720,316
2609,4109
3853,2259
4433,3462
881,591
1641,3230
1715,526
1699,1960
836,4396
515,695
4820,4276
3807,1082
3588,4408
2378,1695
4189,4402
151,4664
1101,1442
4151,787
4049,1081
1714,2426
965,292
1263,3296
4004,2101
799,3908
4043,3292
2998,1020
1004,1577
2899,2951
4988,1047
2637,2776
3097,4223
3339,3618
4078,3973
457,69
2128,3950
2346,3210
4323,1713
1216,3622
2802,1067
1249,3043
2648,4327
2878,2916
3913,2337
357,2910
1712,3890
1572,3861
1604,3004
3118,1065
4725,27
3995,4606
2399,458
1720,4170
675,1284
717,2728
2851,3205
706,860
3012,3881
16,1362
1441,3045
1328,3876
467,850
4944,2126
4992,4300
3737,1318
636,4723
1435,78
699,1331
4384,2907
4076,4399
3668,2927
2103,2511
1747,3708
4181,941
4475,4949
4482,1415
775,1584
4645,619
786,816
3558,191
2300,1802
574,926
2903,818
669,961
3594,141
2803,3936
1729,525
1651,2377
2922,158
1221,3704
2846,1349
4739,1403
3823,785
444,938
387,2065
4135,2004
2034,4002
1588,506
813,1860
309,4534
2013,942
420,334
2992,1852
1426,4105
3771,4497
3484,3969
4980,4649
2285,4522
3068,1185
1216,3674
1443,2270
3800,2317
2188,4433
4300,329
2741,4110
1806,3318
2051,4156
3131,3511
3994,4937
2690,1477
419,3376
4202,2273
354,105
743,4672
1674,2672
2334,4573
410,680
4310,3928
2339,3360
4806,4788
115,4848
3971,2142
1284,3451
4941,3986
4424,527
1999,3243
432,4814
2527,36
1373,4703
3652,2565
1435,1449
1358,936
4340,46
3787,3996
1540,2032
1955,2888
3546,3680
2549,2173
332,3532
3216,4895
2409,3443
3571,278
1655,3328
1601,4979
247,1885
192,2885
2017,1069
4665,4240
2052,812
739,1551
904,3924
4715,705
1510,4567
4363,3845
3460,3955
590,1147
4801,4142
1314,4373
3490,3933
2628,4658
1963,3487
629,1378
2970,4944
2168,4187
4758,2205
2212,4729
2119,3591
1059,4224
591,959
1887,4048
2166,4397
1876,1857
178,4992
4459,43
821,3144
2155,1508
2962,336
1175,947
1992,1348
4166,2469
3015,97
1254,3607
1462,286
913,4018
1137,2205
325,2755
3110,473
1146,4584
244,3643
1534,3985
4298,1631
2574,411
542,4103
913,782
193,4420
2783,1456
1013,3183
4207,1913
1248,4031
786,2140
2250,4097
4886,4819
1975,2386
4632,635
1758,1168
1314,2696
1028,3129
1161,3695
4867,2588
2479,2347
4465,1433
1640,2855
800,875
965,1646
3652,3960
258,4501
4543,4264
90,422
920,3575
4199,2887
3641,3018
1401,1039
3550,524
3365,1455
3542,2424
3615,662
3093,1139
2642,3476
1101,3898
4451,3631
270,3133
3616,234
1031,1580
2127,884
1229,2397
4431,42
1426,4151
56,1120
1100,1312
3741,4049
3955,2567
2219,311
1556,4293
4011,264
2417,4500
2490,2304
686,2282
3704,4745
528,376
4590,1439
93,2242
4914,247
3807,1549
697,939
4447,489
1396,3558
244,3317
1664,3572
3537,4828
3884,2046
1485,3443
3639,2826
2578,2030
634,1043
3858,1921
4979,3583
2954,116
3813,4059
2434,2922
3474,3612
1953,4347
2902,306
4710,4180
4433,4793
503,4935
3654,1112
3290,4798
3946,4194
4748,1012
4862,3685
3880,2960
323,183
2046,3930
2178,3134
1770,3242
927,2543
3997,1835
1006,692
3576,606
3677,3924
1773,498
1131,4337
2170,3755
4897,1200
2799,452
4602,2730
4358,15
694,1648
2033,3669
1311,2484
1768,4264
4871,66
2382,2437
629,3849
60,3631
1714,2944
1807,4047
4032,3575
1543,1110
1933,1392
2057,4688
1667,439
916,3395
3345,2925
4679,1641
3232,1244
4933,2575
3266,4204
2914,3860
1490,4097
3569,521
3934,4112
4807,1687
4553,1210
4780,2934
1063,2879
3152,2818
1956,582
543,181
3958,3090
3622,2704
519,4764
4301,1570
4727,4738
1896,4480
188,4911
921,3356
3248,4382
280,2164
3974,1396
4110,4491
3900,209
2013,4812
3933,1830
4593,2641
4001,3746
820,3499
3628,88
177,276
1923,4869
4425,839
103,1774
2902,3841
4452,389
3349,2425
3559,1699
4587,3208
4771,4266
1728,2493
1264,133
2676,2123
3298,4490
1562,1716
1626,1005
4320,4842
4354,1170
2590,3248
3466,1927
2009,1179
2464,2163
3470,3866
899,4918
4093,1049
703,4750
4984,4450
1002,4232
3783,2755
4351,1106
4537,1396
4950,4767
3793,317
1930,2112
294,3138
599,4958
983,1284
1100,997
3262,3436
4440,1354
4988,425
3345,73
927,2354
2020,2052
3095,3475
88,4305
282,903
2035,4052
1458,247
353,3124
3886,2261
3164,3226
1285,1897
1815,1840
1207,3900
1236,491
1597,266
3421,315
3075,2848
3460,434
3352,1898
1658,152
1735,2175
1223,4643
3930,3193
4511,4124
946,1660
1399,2571
4135,3489
2461,2221
993,2167
4063,3343
2123,3498
2329,3992
4138,2514
2823,3584
2847,133
4749,2852
459,4006
4780,237
1770,467
3174,4537
752,2946
1189,221
3702,3379
2763,3337
2384,875
4541,301
3394,1577
541,3538
1459,3897
2374,1829
4247,974
2752,2736
51,948
4862,4304
2545,545
964,4767
376,1830
723,2106
2913,625
4874,4133
1440,1766
3886,4510
3788,97
2148,2510
2691,2432
3786,2725
625,1766
720,283
2770,1666
753,4894
4920,257
4177,3301
4240,3186
3447,1242
2406,1814
896,3946
3592,334
3613,4911
3841,40
4774,1694
2444,1401
3786,3355
4881,1632
3096,3371
3357,9
3903,1003
321,2863
1940,1243
1307,2639
3672,3952
2962,417
2605,4325
4103,4422
975,854
630,2756
1309,4218
4940,2255
165,3426
410,3394
1093,4997
365,1708
3850,3961
2470,19
2897,534
2177,1051
3875,1845
3979,3252
3481,1114
108,3922
559,976
3775,3209
1221,2184
3115,2371
3132,924
2077,1443
4236,3509
4106,2326
3489,3433
183,2889
2672,4101
4287,3421
4577,747
1931,3097
3975,3178
1018,3928
1649,1346
4591,4875
2265,2310
1653,1761
4317,506
268,403
2305,2609
310,790
2507,2086
3979,989
3303,3722
1887,1133
24,4872
1604,3980
1368,4078
3331,635
2632,3453
1110,4433
4732,4840
3730,99
3704,4194
2385,1163
1121,762
524,3390
65,410
2794,2780
2709,3566
4658,1018
3507,4261
271,4814
4018,686
4078,1398
2771,3044
2440,2344
3211,71
1451,4878
3900,4107
888,4627
3583,3490
4468,1605
4554,1082
1769,1124
1876,4682
2486,4368
3916,4324
42,2002
945,4224
1494,4340
79,889
833,4982
917,3759
1615,2041
4163,4233
4023,1115
939,1017
2657,2171
2613,4388
4745,4043
4797,3468
3412,980
1940,3182
522,1215
3366,4070
155,2201
3980,2249
3836,2153
3063,4772
826,3051
3807,1740
2948,2702
2853,969
1285,3360
148,3364
3215,567
4007,156
3263,4113
1383,2514
1090,4939
317,3358
4912,2862
3950,1417
1641,1577
3118,1461
4284,587
531,2711
3224,4988
3927,4710
2238,4705
4011,2387
2325,3082
2621,3532
4298,2814
1166,3308
1772,1798
130,2112
2742,4741
1914,3341
728,396
4567,3779
516,4977
129,2612
2546,3227
1607,3456
1944,630
1202,1211
1210,3690
227,4046
2185,4288
2203,973
125,690
1483,1435
2803,506
325,879
2763,28
1278,3786
273,4952
2471,2239
1530,3436
3443,23
50,2120
4290,4187
629,1767
83,2750
4015,3789
4289,4371
283,1732
495,92
1143,2718
3730,673
4478,3179
3346,4630
3396,2045
859,1996
1645,4639
4692,411
1058,4883
4316,2412
4348,1414
4522,1964
4979,4279
3407,4636
1624,2727
2603,677
1033,143
1849,945
4867,1896
3740,4798
3955,617
4578,974
1794,2919
2586,1381
1823,3241
1168,4777
2674,278
4298,4368
472,4827
1461,1259
160,4115
84,2016
2108,802
4972,562
779,3571
2123,3552
2959,540
40,4583
2502,2487
4198,3165
886,518
1553,2995
3420,879
2092,213
444,3004
4650,3306
2039,2955
1264,2747
4751,3651
3216,3592
3002,2458
2493,1446
672,3187
4941,2666
3587,82
3955,3862
2667,2985
597,3037
1389,2412
1106,2788
2716,2414
4535,3815
377,4845
161,4989
2443,3746
4165,3225
512,943
3821,3040
108,323
3004,1015
3021,2936
862,3437
1736,2324
478,4319
2225,1327
4756,3466
2831,4136
2307,1242
2130,135
4323,2142
797,1031
2260,1010
3262,3802
3960,1416
2232,733
1809,394
3533,3894
3652,754
1967,4109
2928,2162
2779,4760
4951,665
4126,1258
1521,3031
891,455
96,1926
3297,619
2094,2444
1015,1494
99,819
704,4868
4140,1986
3052,3273
4438,207
504,4133
1405,2933
1016,60
1178,1847
3615,1504
1572,4461
4975,3935
1008,1643
4826,3635
827,1216
2785,4464
4681,262
341,225
202,1507
1687,1199
418,2916
3922,3767
228,4479
3851,1195
4232,3059
3889,2507
3261,1088
4003,564
3521,4893
574,2219
318,3107
391,471
2910,3971
3821,2088
2539,4523
3685,2872
4756,2023
1521,874
3406,2821
446,2904
2386,810
1770,4942
2370,868
1282,2298
121,768
1485,2126
1851,2445
2168,4647
3039,3051
282,677
1074,4136
4424,3139
615,558
690,299
300,4798
2281,4966
193,4341
1320,4152
470,2867
4302,49
29,2634
493,3574
3791,3613
699,4023
3384,2109
4371,2777
4808,2809
4648,4517
311,3790
2640,3667
1462,3566
839,3910
1959,3000
746,3150
3273,2583
1717,940
2485,62
2964,4884
3092,4781
4456,3327
1650,4670
1251,2382
3861,3548
2389,1146
418,3985
2703,1882
1869,3643
600,444
1301,3306
4359,822
611,3839
1835,2142
1473,3378
95,1526
55,545
2365,4495
2377,3666
4511,3725
1470,344
2174,3346
297,4647
4147,4943
2326,2981
4321,4487
46,4413
4130,3013
4899,3968
4302,835
513,184
899,3857
1394,1095
3058,1242
858,1456
639,1972
1015,2120
2646,4592
2908,2093
2871,4861
1535,1293
1217,1153
2611,1888
532,4753
2658,2910
1847,230
2457,4926
2069,1482
2993,4268
4714,2781
229,3918
616,4706
3008,263
1046,4420
3526,3385
3849,1143
915,1455
3933,1400
818,1967
4632,4164
3039,1638
2887,4025
4400,2713
871,2749
3380,2662
1982,1367
494,747
1494,1325
3578,1188
908,4735
361,401
3649,4877
1438,417
1457,669
4717,1561
3171,423
2064,3612
128,2175
1266,2158
2483,4679
1462,3772
3577,1363
491,3038
2368,142
138,468
1476,3290
4185,504
241,4964
4062,3347
2704,4236
4729,3619
3174,1659
2971,73
2922,3176
2835,2802
2734,972
1756,4971
3507,1004
3574,1679
29,4831
66,544
3496,4469
3034,2100
3525,1595
4114,1398
4013,4486
1493,1050
1372,4143
2163,3713
1334,477
4793,903
2184,1534
1692,3697
1366,3718
116,2887
2022,3998
2344,3237
3859,4280
655,1252
666,2492
3887,2723
3010,3830
951,4456
1279,827
1335,2350
3917,165
533,255
908,1451
1696,2880
2456,4515
3092,3245
3379,3401
2855,4014
2536,1149
4098,4669
3414,2885
3917,3912
315,1282
4382,2387
1243,3081
1274,4604
35,1687
2939,1916
3476,1090
900,292
357,4566
2275,4388
1907,72
940,1627
2811,3919
4536,1599
2600,4904
4957,4945
667,2363
4059,1380
472,3333
1155,730
4460,2190
2529,1352
438,1351
1585,3578
4804,4645
2306,289
1214,51
1510,3171
2352,1175
2078,611
5,4
788,2076
3260,3738
4228,1314
1740,1212
107,3881
2233,4054
4027,2056
1596,2507
793,4006
1442,2210
2884,1386
4610,3462
3538,2008
2681,2843
4472,1982
375,4817
4339,1429
501,1669
2924,3415
3209,3128
1004,2324
2557,3736
3237,4446
2931,723
1400,552
2710,1231
1566,3054
3071,748
4881,1523
1474,1424
2909,787
2303,2709
4413,3692
4343,40
4681,2578
4369,3462
4944,295
336,274
4709,4576
1157,1538
4644,1060
4171,1508
3001,4096
2013,3821
1283,4287
191,948
4019,2731
3335,3679
514,1264
614,54
1388,110
4041,715
238,4152
60,2582
3723,1903
1162,4472
3012,4957
1609,4749
4178,3042
3148,4194
3360,388
2535,3189
3143,2602
1742,4083
1409,3127
1404,4826
3679,307
4497,4224
4574,2005
1052,4154
3008,2301
2079,1089
4243,4472
4760,4737
3533,2904
959,4451
481,2831
2816,2787
2330,1110
209,2826
1912,2429
2208,1676
3329,4742
503,2694
2874,3211
2193,4649
2302,2125
4555,3223
2642,3873
4435,4043
1951,4298
3809,4841
4957,2975
2043,4550
3285,2817
3765,2713
817,2995
855,493
2395,3307
4787,2224
4510,4124
3157,2772
4744,2512
2585,704
4222,4407
2750,179
1424,3972
520,619
600,3798
3636,3830
2753,3781
472,3941
4051,2300
4260,4308
3263,4516
3857,2704
3494,2591
2344,2058
108,2438
2975,3749
2312,317
4017,4307
1137,2185
3854,2922
4830,2017
82,3898
3477,3834
4900,4362
824,1229
1129,1558
1761,3164
3453,3902
2400,4498
910,4471
1023,3591
2996,4294
1096,3724
2383,905
314,2072
4799,4373
3733,2259
4139,3562
1754,3046
1720,4691
1157,1741
1509,3101
2232,1617
1875,4021
4761,2960
4124,113
3694,975
3961,699
2715,4005
2147,1332
2623,4513
3061,1215
1945,302
3705,1548
1835,4289
801,206
4018,2159
4488,2885
1890,3297
261,1646
3362,2191
3987,1463
846,3197
1240,756
4134,834
848,3169
2942,721
1465,1927
1561,3991
855,3326
2433,1723
1543,393
3602,2960
363,2935
1293,2496
2526,4027
1406,1470
1154,2051
603,1038
4677,2230
1445,4662
172,469
1495,166
3700,4740
578,3540
564,4231
3462,2158
2584,1898
4175,2403
1982,1830
3878,832
2701,4740
4001,4295
4229,1010
966,1083
956,3658
4303,3126
444,1353
3542,2176
2113,1370
2982,2110
273,3379
508,935
791,3968
3486,3787
785,2726
4247,873
3957,526
3156,4428
3915,4892
1388,4001
344,2470
4740,3905
1388,1157
719,1322
427,4459
4565,4032
4872,3751
3768,1249
2235,1968
728,2323
4986,1383
4132,2145
2502,1108
3504,4416
405,964
2295,3081
4345,1859
2793,4782
2787,3139
3035,1787
4883,190
3665,1660
1010,2252
1145,3503
64,3042
1534,3714
2938,351
2650,3046
3430,4672
2051,4235
4840,2329
1840,4941
3746,4603
4124,4392
2312,3658
1893,3406
1604,2756
2080,3979
389,2964
4591,1934
4326,4801
4729,2688
2775,936
1213,878
4592,3646
4045,3327
2011,2819
2736,137
2090,4738
765,4221
3324,1375
3749,4743
3745,880
1232,2451
2725,820
2242,4236
1636,734
2136,4103
120,1374
3965,2164
234,277
3521,4341
3257,3563
2768,51
158,3078
3104,4509
1407,3535
2097,2861
241,4839
4464,2915
2984,1328
103,1883
1975,3316
3085,2768
321,3197
1690,2933
4916,3124
2144,2462
121,1884
914,1739
4625,1683
4946,3286
3446,378
4271,4542
1940,3216
3578,3210
850,3393
3068,2547
4484,1564
1178,579
3723,570
419,4679
771,3893
2043,1979
3194,1102
3163,281
207,528
1360,4505
262,4299
2244,3326
264,2987
784,2120
3073,2829
2909,4721
2441,1676
4207,529
3864,4428
2223,4058
1532,3902
1948,3244
4746,4863
4030,1603
75,3123
3540,4755
792,4906
2116,2967
2176,2289
4475,801
2077,3854
3114,2720
3705,2142
3008,4282
2947,2597
3938,178
3680,364
822,4664
1776,4901
3889,3106
2465,935
2471,2119
216,2519
1552,1994
949,1369
2675,4764
676,4575
338,4950
4190,1320
3459,2619
3878,2472
497,1925
2424,4875
2866,476
4555,4823
797,2920
2655,4043
3107,1983
4993,1821
2011,772
1379,2951
2236,1533
447,500
943,4158
4710,2563
2947,2714
4095,1819
4197,2165
3797,2969
1632,2619
3664,614
2917,2135
4303,3195
3701,1740
4775,4338
1224,1851
4271,3112
2077,4137
902,926
1840,1026
90,866
4675,3672
2191,279
841,1604
3610,3703
3912,1177
2284,3097
2658,3787
1599,3534
2899,749
4224,2330
406,3232
1667,2647
895,4013
3885,875
511,1822
2772,1065
354,374
3283,2111
995,4341
3827,2965
2879,3143
2135,2102
3389,1000
2420,4982
2297,521
1836,4449
3539,4665
4704,2298
1899,4888
2265,1203
4728,1605
2493,4894
1513,3224
1081,1523
1806,3279
4208,93
3530,3355
557,476
190,1082
210,1491
413,4196
2795,3849
3261,156
1114,1305
4727,4936
3797,1322
1654,15
541,2041
4323,2325
2747,1124
2839,2612
1188,4478
2481,1633
2211,1577
2989,2117
4924,1575
2435,2514
3263,2241
1046,1132
3653,4552
4213,1782
1370,2911
247,4351
2674,1984
4987,3639
4454,4288
2678,843
4507,4350
1459,3734
790,1357
1108,693
2146,2355
3340,1513
3054,799
188,4224
2913,3033
644,1613
250,1719
2362,4250
4015,3644
3372,4026
1775,1930
1977,3583
4209,1411
269,2554
1055,1135
2806,2166
1222,4131
2781,2126
4451,4174
2666,1133
1298,4636
3697,1486
1864,535
363,274
4158,2260
4,4446
3328,100
3823,613
1166,4320
413,2505
2454,3107
1305,3058
4381,2662
3740,2036
688,4242
1926,985
112,815
1961,267
132,4595
4337,534
4367,743
3301,3654
499,3745
4622,1736
1765,68
535,1869
3592,3060
2595,260
1885,841
1611,4060
2314,3419
2313,3954
878,1405
807,1899
3526,2049
4801,1130
4320,1452
1897,4170
1930,43
3140,2598
4226,1121
3644,4169
163,3827
837,278
3660,2516
4491,1194
4375,566
982,4822
3885,4097
3943,3820
2080,3931
2863,1215
1147,1260
3984,1596
2169,568
3383,645
1858,848
1758,939
4224,2620
2011,94
3772,2597
1524,566
2225,371
2301,2689
3952,1171
2299,807
1622,573
565,791
171,2943
4664,1338
3466,1434
788,2407
3121,2024
2523,3212
4221,3460
1167,2910
2236,169
4559,4176
2032,1253
2161,788
2588,1416
3650,3054
4377,1513
172,1148
128,310
4159,2642
2175,4655
2235,4253
637,3266
1973,3971
2432,3116
3971,1196
3450,612
3446,4931
3318,340
1369,4391
116,3375
4608,535
1798,313
201,1316
2556,1775
4777,4932
2710,4796
3372,3238
2670,876
1193,2003
966,3135
3947,1544
4710,1931
1943,4563
2571,1813
3091,3631
4238,3723
4945,1821
250,2769
606,4125
3761,4356
1738,1348
2283,3510
4775,2645
2818,2953
3411,2648
2806,276
3251,2542
1593,4179
1578,4295
3571,2045
3584,1499
1777,3691
2798,633
971,2974
1242,3067
3100,3844
2562,2011
3558,3460
1183,514
122,4500
1688,2965
3116,2843
1499,1201
2811,3700
1913,3132
4683,3728
2024,1388
392,13
2581,1959
4068,3300
4552,4320
4220,3149
170,3048
2832,247
3029,357
4003,294
518,112
1317,2884
4553,243
25,2890
3558,3528
2798,3063
350,2384
3293,684
1889,2393
475,2653
4111,3637
2471,4832
1106,3656
1770,4476
2281,4181
2413,3504
3671,1817
4619,4885
82,4949
3180,2948
172,1909
2531,4423
783,4353
550,4985
2031,4396
3286,1035
1256,573
2613,1851
149,4060
1867,1805
663,4862
199,560
3247,1119
376,3495
4946,1610
751,1287
3480,2361
4365,1900
3470,505
3309,3596
701,3665
3887,259
144,4670
390,3859
2008,4855
431,3590
4785,2479
445,4934
4872,3941
2542,3781
2226,2325
246,2327
2171,4063
2026,928
3579,647
2267,4787
4627,3573
2812,2305
4046,719
2684,1511
411,419
1964,6
215,242
277,3223
2798,4537
2618,3508
1419,3086
2639,3874
3171,2037
4334,1838
1832,1033
3283,3479
2042,3928
3006,3085
2698,2657
457,902
179,976
4171,4025
2975,1445
2583,2128
1122,2215
837,1967
1252,2907
1891,1338
3793,23
822,357
2025,4285
4773,256
4383,2740
26,3438
1308,3226
3058,1809
925,2434
768,1425
3409,871
1115,1139
4692,1678
2738,2570
1820,2938
1757,503
783,4052
318,557
3981,2154
2066,1506
2608,473
3558,648
1896,1434
4806,4588
2950,3931
492,2158
3402,1784
4753,4778
1012,3996
4500,1745
2412,4712
754,819
1207,1927
4013,4981
3167,3859
319,423
3860,927
887,4156
2879,2415
2930,3304
2268,321
882,3887
4571,2652
2786,1029
1967,995
1879,4242
3123,806
1728,338
4028,4054
4523,3193
1480,877
4687,128
1864,851
1191,1569
971,4917
1367,2797
4826,3297
4482,2612
3808,2205
3187,4175
1929,2287
2346,2063
2445,2006
2730,1287
12,4884
3247,1925
3929,2601
3790,3363
1526,2896
2511,2286
1019,3794
3682,349
677,4024
4853,555
1600,609
3145,2767
1542,3197
3555,1922
4944,1558
1775,3281
4824,4012
3457,2129
3902,3623
4503,4097
4943,1328
2794,1773
4644,4638
1708,1780
2675,2647
3253,4985
4348,3457
3884,1144
1502,1829
3143,3598
647,302
1417,549
4094,4105
4792,2972
3431,1093
2829,3516
4568,2571
2205,1425
295,3019
739,3038
4241,3384
3831,1890
3944,3029
2177,994
746,4326
4920,3807
1112,4480
1027,4516
3670,4573
1585,4877
3214,197
214,3140
4068,1553
3521,4848
923,1744
274,1758
1692,4784
3816,3755
4839,3937
3903,247
176,262
4586,819
4594,3006
3345,2325
3949,36
1422,2583
3719,794
4676,3883
1339,4885
3779,1614
1525,2377
3222,1262
2403,1713
3150,761
425,3695
4432,4697
4969,1346
3012,3609
244,689
42,2539
232,3373
1058,3561
4837,4959
3321,1322
1912,559
4395,4282
3125,869
4411,11
2429,3060
4309,697
3551,795
3477,234
1426,2870
4231,2882
4741,90
3206,1824
640,3241
3355,2295
300,3365
4730,811
2043,935
364,789
1602,4640
3725,951
618,2023
3853,2877
4931,1739
2997,3985
1031,4553
2529,4457
4419,4863
1877,4200
3125,4473
1547,2637
608,4178
475,135
2281,393
2180,3087
4588,4407
3730,4836
2875,4108
300,1623
4451,2968
4024,4452
4041,1927
1647,2386
14,2714
1516,1640
1083,2950
2527,3334
4301,4596
4677,4137
2221,31
1179,3018
2436,4135
692,1723
1524,4074
1227,3296
2135,3111
257,474
1272,3666
3101,733
4290,4115
747,2400
2834,612
2353,2807
4029,215
99,2599
128,3487
2505,4448
2511,4087
750,3773
3664,153
3065,858
942,941
3860,2075
2317,3378
3737,1975
1050,2542
2860,1605
4689,859
2823,4613
3622,2825
2264,2660
3236,548
3696,3767
1362,1139
199,1865
2545,4322
3238,1079
307,4033
2303,227
649,4206
1619,480
515,2668
523,117
2554,2558
1238,2189
1282,1471
3240,2854
483,3547
3551,3149
384,3877
3254,3653
2535,51
1351,4240
4558,830
888,2142
4734,1971
4334,1573
4457,1378
4705,1266
836,66
1613,3649
2069,3372
1063,3345
3958,1916
3319,1782
3408,4262
1126,1242
1151,2814
2024,4777
3148,3766
309,1302
389,1215
3072,4998
2803,3446
680,2362
2347,3677
3585,263
3788,1622
4028,557
2044,2052
4029,1934
2062,1438
200,3463
3581,3381
1232,3786
1918,2309
134,2085
4335,4890
4967,2606
1968,4415
2312,79
290,4305
4901,2807
3777,4848
240,3963
1234,1686
3706,1255
1849,3880
1985,3706
2556,2917
3590,4020
796,792
2554,2050
1216,1417
4250,4118
4691,740
677,2210
724,3634
470,4577
2067,4925
3873,257
3267,4283
1384,3716
1854,1892
4417,3080
2303,545
4497,1296
804,3294
3928,4507
4427,2755
1452,1819
3992,358
2021,2389
3606,4326
1238,2828
85,1340
499,4633
3830,2319
999,237
3582,3500
2599,3232
1359,3509
2542,2087
2314,2707
147,3823
1650,3782
3489,3432
301,4961
1865,4016
2989,3429
1027,2112
1412,1865
1432,2423
2891,3464
253,107
530,47
993,791
3174,4751
4032,1528
4774,1088
1780,3384
2512,4167
1666,3134
1774,2187
1775,1206
3122,2207
3622,3646
3605,2747
4920,3312
1263,1267
726,3852
3746,1391
997,2244
1809,4270
1373,3876
978,4087
1012,4354
2624,4296
4550,3183
984,950
1961,4740
932,579
4106,508
1426,4870
3824,197
2392,3058
940,3678
1279,4701
2842,2970
3886,1919
4847,4742
